Energy(MeV),Theta(deg),Phi(deg)
0,60.7108,-37.9075
0,111.921,-85.9089
0,132.391,-100.351
0.0201646,47.6291,-24.0069
59.2851,79.8502,123.665
419.689,17.596,-108.945
0,51.029,19.3825
0.111081,133.394,139.733
0,28.6531,118.227
0,105.77,-38.5194
0.0440591,138.293,-177.624
0,98.1757,69.0982
0,50.7988,-130.528
0,89.451,124.884
2.02975,124.862,16.9295
2.05464,101.367,-43.0783
2.58875,116.103,60.1798
3.02596,140.153,-120.044
0,39.2422,-123.885
0.41479,129.126,-55.8002
0,58.4618,-93.9713
0,35.5606,-25.9145
0.0585832,100.163,-21.1056
0,86.7479,-52.7063
1.01424,21.2493,-112.298
0,66.9448,-44.162
0.134681,56.3362,-106.398
0,116.677,150.503
0.198379,64.324,112.845
0,89.37,-103.047
2.14932,92.5282,-100.804
6.48853,152.414,62.7401
6.75075,93.5424,-61.9763
8.62999,122.433,108.046
8.78056,130.85,161.493
9.19871,130.687,-143.91
0,57.8879,89.4594
0,48.4371,57.2983
0.151468,138.462,-49.3726
0.685616,141.625,27.0976
9.46592,137.044,44.5758
10.1124,152.966,157.203
10.2377,112.466,158.012
0,56.7945,8.89858
1.274,126.729,-24.3422
2.27899,132.312,136.371
0.377924,153.223,57.6813
0,9.89368,-85.689
0,75.1968,85.6678
0.253005,162.219,-29.9715
0,87.7284,11.5174
0,110.384,-129.026
0.385866,168.046,58.217
2.62094,134.317,-63.3926
0,60.9162,-1.02849
0,113.909,-72.6592
0,102.049,-39.1958
0.0138129,65.6577,12.1255
0,92.6806,-161.215
0,56.6404,100.814
0,68.8184,-30.5221
0,150.905,-130.569
0,95.8993,-63.3091
0.950782,103.129,0.915605
0,45.0444,-90.4975
0,69.0773,-163.131
0,76.2854,-155.288
4.25452,159.451,-91.3792
0,57.623,138.411
0,118.554,-27.5736
0,22.5333,-28.7048
0,30.2057,-37.2265
0.130935,91.4068,26.2499
0,42.5639,-90.2891
0.301363,74.1067,-138.627
0,68.0091,-35.5374
0,62.6577,86.2035
0,42.6992,48.2924
0,37.136,-107.059
0.28605,112.501,-128.914
0,46.4484,-109.959
0.0760115,165.847,92.0944
0,86.3002,53.5684
0.130993,59.039,-43.5507
0.237793,144.898,99.2971
0,39.0605,-83.983
0,118.029,18.8811
0.0360096,48.2851,88.674
0,123.464,162.859
0,41.1163,143.531
0.132695,98.0191,33.2257
34.6629,86.2665,73.1359
106.291,81.1386,166.248
0,80.7751,-53.7728
0.247375,110.977,21.0382
0,37.1316,-73.3081
0,157.061,-43.8167
0.0248397,141.382,97.3295
0,66.6548,27.813
0.301429,91.9582,56.2635
0,94.3414,-175.346
0,82.9459,-157.174
0.166816,65.345,-77.0885
0,26.0095,-66.1962
0.499112,67.0622,-101.354
0,100.686,-172.926
0,88.2596,0.442506
0.0254735,135.533,-91.8102
0,97.218,-66.0286
0,26.7234,-31.3287
0.10323,71.3064,-39.629
0,157.684,-102.042
0,87.1523,-88.2746
0.249047,84.5652,-168.522
0,87.4616,76.7124
0,144.324,98.8336
0,62.9678,-166.456
0,50.627,137.18
0,21.8256,-176.207
0,31.6224,-84.4582
0.155052,50.9312,56.1535
0,161.162,77.5085
0,21.5948,128.97
0,27.9577,82.0061
0,21.5809,-91.8986
0,29.3721,-149.527
0.334098,138.208,-122.726
0,151.911,-132.665
1.18606,57.7439,140.833
0,76.3167,-126.507
0.270986,36.7713,-126.816
0,121.431,120.416
0.473334,140.976,-161.113
0,48.6939,-129.257
0,142.033,-152.941
0,113.288,123.768
0,77.0752,-74.7835
0.0650901,47.9104,70.6741
0,103.603,-29.0667
0.0980469,141.76,-72.7565
0,98.1019,113.651
0,109.608,-21.3248
0.340724,55.7938,115.41
0,87.3529,90.7442
0,32.5307,-100.774
0,92.6756,2.25751
0,24.3364,94.4967
0.00870221,118.834,72.6808
0,127.968,119.199
0.284702,124.461,-86.5813
71.9447,90.4837,-130.09
0,32.1915,17.3936
0,149.376,-171.58
0,104.316,162.904
0.051646,88.1068,6.86074
0,68.0219,70.8523
0.21123,66.7413,-56.7557
0,60.0011,-3.60047
0.0833905,137.219,-69.0081
19.5976,65.7006,-38.5127
0,80.9301,-37.205
0.290289,117.821,-83.926
0,71.9329,55.478
0.0734372,103.955,-63.402
0,60.0337,-48.6105
0.0912747,100.128,54.8279
0,78.8643,40.026
0.243232,30.8433,52.5638
0,31.4109,104.054
0.488828,87.98,-20.5226
0,135.731,141.639
0,86.7708,-132.986
0.0584588,112.605,-153.719
0,58.4515,12.88
0,151.256,-64.1854
0.24472,165.014,-3.83984
0,59.0745,-39.4959
0,138.006,28.643
0,89.55,88.9409
0,89.1876,12.5092
0,73.322,153.737
0.0516441,67.9425,47.8128
72.1474,124.092,32.0274
0.46056,47.9084,-39.1678
0.549339,123.433,-102.86
0,86.3604,-109.801
0.0160847,134.669,-93.9938
0,140.848,173.431
0,106.576,91.3629
0.0411211,102.396,-154.128
0,159.188,-103.501
0,100.617,29.5645
0.0719836,159.76,80.7697
0,84.7239,-87.1562
0.0855641,79.6631,-179.311
0,65.0729,-17.7101
0,86.7268,-60.0704
0.111962,162.761,-58.0538
0,76.4685,123.689
0.0251411,122.122,-149.101
0,84.484,122.568
0,25.6666,-135.169
0.190965,108.942,-40.4832
0,131.359,173.543
0.362545,129.437,165.09
3.13684,137.704,165.162
3.65371,115.622,-33.4819
0,39.245,-147.888
0,78.9267,149.052
0.494439,169.858,63.8454
0,108.419,-123.179
0.493156,134.829,-49.0651
0,73.2149,43.9057
0,121.063,-114.231
0.210251,104.635,-74.0216
0,53.5225,2.23499
1.19752,63.1148,-82.0873
0,13.9055,37.1233
0,115.743,-139.128
0,12.4743,-134.946
0.0183249,106.82,-155.23
0,107.514,135.023
0,134.736,-140.802
0,54.7785,-123.015
0,98.5537,-19.9273
0.568262,75.5292,52.1046
10.744,178.754,59.0305
14.002,110.142,114.301
0,121.753,-51.5068
0,79.1528,61.6991
0,110.425,-65.6321
0.0343522,99.3958,-94.3672
0,42.8102,17.8554
0,146.384,-99.6986
0,160.328,165.492
31.3007,96.7726,-148.328
0,82.4879,4.03071
0,164.009,-56.3236
0.416475,125.37,-143.535
1.44488,126.832,31.3217
0,19.3288,129.168
0,42.8791,-97.9276
0,117.002,118.996
0,98.8546,-38.8993
0.321301,142.705,108.528
5.66374,93.4439,-57.9451
0,25.6405,8.44556
0,118.503,-88.6912
0,93.2462,179.488
0.0445471,63.4109,-68.6081
5.54789,87.9328,-1.72878
0,19.3833,102.395
0,120.012,-173.152
0.0684495,118.047,-76.1304
0,79.4255,-11.2546
0.311251,36.2025,-68.7713
0,114.323,170.317
0,75.2371,-114.9
0,42.8294,144.806
0.0339845,103.625,-99.9016
2.39343,43.8082,159.324
0,159.776,-3.46231
0,69.4509,-90.3257
0,157.23,-78.28
0.0546175,100.005,-93.9577
0,81.9976,-18.6609
1.54151,49.59,-14.2521
0,62.1738,135.184
0,123.464,92.9603
0,70.8837,21.9575
0,123.506,5.89646
0,77.8735,54.4248
0,99.6719,3.74889
0,10.8189,-129.456
0.189874,93.3933,86.5552
97.967,62.716,115.553
0,58.222,20.5887
0.180089,145.072,137.033
0.410015,91.7978,-84.6404
0,48.3261,-88.6693
0.0937893,75.1658,-126.948
0,46.2657,-2.28904
0,48.5533,-170.21
0,30.1234,68.5796
0,62.0273,165.499
0.388212,138.392,-149.854
0,48.5329,140.149
0,25.1983,-166.028
0,81.9062,101.771
2.82445,65.7917,74.9692
0,101.402,91.0125
0,102.855,167.008
0.563001,97.0189,93.3754
0.525083,170.392,-38.3877
20.6537,77.7787,96.7511
0,51.7205,-170.161
0.493865,132.805,-10.5927
0.64142,79.4634,-80.9681
0,54.1632,60.8284
0,113.784,-113.36
0.0941802,132.022,-12.9307
0,98.0611,-156.015
0.407568,117.423,48.4172
0,56.0618,30.5226
0.0861171,75.8625,71.6783
0,44.657,117.988
1.32308,125.157,-123.404
2.33952,93.2696,-142.454
0,92.2302,164.002
0,69.7874,-34.9251
0,148.179,126.137
0.0536721,24.1432,-63.8502
0,86.3718,-116.549
0,101.337,92.9174
0.0860883,81.8676,137.211
0,76.7198,169.051
0,57.9478,99.8572
0.0808374,39.0448,127.658
3.25177,51.7663,-92.3889
0,81.9466,-83.2162
0,89.6087,148.559
0,15.1113,1.14003
0,106.418,98.4133
0,173.358,80.874
0.219811,68.9861,-160.35
5.48582,103.068,179.062
0,84.0576,166.071
0,64.4797,107.026
0,70.5998,-12.8243
0,148.373,175.121
0,30.5019,64.6427
0,112.238,-144.252
0.0946227,82.4521,-134.387
0,62.5052,120.35
0.16018,140.766,118.703
0,105.397,94.9051
0.408386,76.5698,134.788
0,28.2317,87.7487
0.338506,90.5302,132.742
0,144.782,67.0733
2.70857,80.4703,136.062
3.10567,71.4977,151.931
0,8.58791,130.355
0.108432,111.173,-64.1742
1.14767,136.288,78.6008
0,15.0624,113.527
0.660129,104.407,-69.4755
1.33719,69.8721,10.6928
0,68.8975,-83.0889
0,132.38,163.772
0.0581202,157.419,56.5889
0,61.4329,-7.94739
0,104.804,57.2122
0,91.2796,59.548
0.629501,147.552,77.0542
0,106.46,-59.392
0,26.6033,176.764
0.0148859,85.6356,142.127
2.6297,133.568,-67.5548
3.21669,132.335,-141.942
0,83.6404,-12.5362
0,33.6092,126.659
0.250037,101.516,23.5782
0,61.8006,39.8979
0,140.579,-157.692
0.325359,113.04,-124.349
0,79.5193,-1.95161
0.0720494,114.873,-43.8652
6.40251,39.8341,-155.222
0,115.786,137.309
1.15161,114.749,53.0374
0,44.9072,-29.0073
0,108.625,-133.445
0,80.5214,65.4777
0,152.65,166.121
0.0769566,78.4654,-110.82
0.495118,155.555,168.084
0.89462,179.573,176.844
1.63285,154.342,-55.774
1.90867,103.264,-46.097
